l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,1.0,3.0,8.0,0.0,0.0,0.0,12.0
3.0,2.0,8.0,8.0,0.0,0.0,1.0,13.0
1.0,4.0,3.0,11.0,1.0,1.0,2.0,5.0
3.0,8.0,8.0,11.0,1.0,1.0,3.0,6.0
2.0,0.0,3.0,1.0,2.0,2.0,4.0,5.0
3.0,0.0,8.0,2.0,2.0,2.0,5.0,6.0
3.0,0.0,8.0,2.0,2.0,2.0,6.0,6.0
1.0,1.0,2.0,4.0,2.0,2.0,7.0,4.0
8.0,0.0,9.0,8.0,3.0,3.0,8.0,3.0
2.0,8.0,3.0,10.0,5.0,5.0,9.0,4.0
1.0,11.0,4.0,17.0,6.0,6.0,10.0,2.0
4.0,11.0,8.0,16.0,6.0,6.0,11.0,2.0
4.0,11.0,8.0,16.0,6.0,6.0,12.0,2.0
8.0,8.0,9.0,11.0,9.0,9.0,13.0,1.0
3.0,1.0,8.0,2.0,10.0,10.0,14.0,4.0
1.0,0.0,2.0,1.0,11.0,11.0,15.0,0.0
4.0,16.0,8.0,20.0,12.0,12.0,16.0,0.0
2.0,17.0,4.0,20.0,12.0,12.0,17.0,0.0
2.0,1.0,3.0,2.0,12.0,12.0,18.0,1.0
8.0,11.0,9.0,18.0,15.0,15.0,19.0,0.0
4.0,16.0,8.0,18.0,15.0,15.0,20.0,0.0
