l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
7.0,3.0,9.0,10.0,2.0,2.0,9.0,8.0
3.0,5.0,4.0,10.0,2.0,2.0,11.0,8.0
4.0,4.0,7.0,10.0,2.0,2.0,12.0,9.0
2.0,9.0,3.0,11.0,3.0,3.0,15.0,7.0
3.0,10.0,8.0,11.0,3.0,3.0,16.0,7.0
8.0,10.0,9.0,13.0,5.0,5.0,18.0,2.0
2.0,11.0,3.0,12.0,5.0,5.0,19.0,7.0
3.0,11.0,8.0,13.0,5.0,5.0,20.0,8.0
3.0,11.0,8.0,13.0,5.0,5.0,21.0,8.0
2.0,12.0,3.0,14.0,6.0,6.0,23.0,5.0
3.0,13.0,7.0,16.0,7.0,7.0,24.0,4.0
7.0,13.0,8.0,18.0,7.0,7.0,25.0,2.0
2.0,14.0,3.0,16.0,7.0,7.0,26.0,2.0
7.0,13.0,9.0,14.0,9.0,9.0,27.0,3.0
8.0,14.0,9.0,20.0,13.0,13.0,32.0,0.0
