l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
6.0,1.0,8.0,8.0,0.0,0.0,0.0,12.0
2.0,2.0,6.0,8.0,0.0,0.0,1.0,11.0
1.0,9.0,2.0,19.0,1.0,1.0,2.0,2.0
4.0,17.0,7.0,18.0,5.0,5.0,19.0,2.0
2.0,18.0,4.0,19.0,5.0,5.0,20.0,2.0
2.0,19.0,4.0,20.0,6.0,6.0,22.0,0.0
4.0,18.0,8.0,20.0,6.0,6.0,23.0,1.0
2.0,0.0,6.0,2.0,6.0,6.0,24.0,5.0
6.0,0.0,9.0,1.0,6.0,6.0,25.0,4.0
6.0,0.0,9.0,1.0,6.0,6.0,26.0,4.0
6.0,0.0,8.0,1.0,9.0,9.0,29.0,5.0
1.0,0.0,2.0,7.0,11.0,11.0,31.0,1.0
5.0,0.0,6.0,2.0,15.0,15.0,35.0,1.0
2.0,1.0,5.0,2.0,15.0,15.0,36.0,1.0
